Проект,Мониторинг,"Срок жизни, в мес.",Cреднеарифметический % месячной доходности,Max просадка,Мах незафиксированная просадка,Общая доходность,"Среднемесячная доходность, %","Среднегодовая доходность, %",Лучший месяц,Худший месяц,Коэффициент Шарпа,05.21,06.21,07.21,08.21,09.21,10.21,11.21,12.21,01.22,02.22,03.22,04.22,05.22,06.22,07.22,08.22,09.22,10.22,11.22,12.22,01.23,02.23,03.23,04.23,05.23,06.23,07.23,08.23,09.23,10.23,11.23,12.23,01.24,02.24,03.24,04.24,05.24,06.24,07.24,08.24,09.24
Amadeus Crypto,https://app.zignaly.com/profit-sharing/6551303682dcb1603f0bcc2f,11,"-4,72","-66,50",,"-54,59","-4,96","-16,30","64,05","-25,46",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-14,17","-19,47","-13,01","64,05","-3,55","-1,91","-21,88","-25,46","-16,05","0,09","-0,55"
QINV AI-Powered Crypto Portfolio,https://app.zignaly.com/profit-sharing/65d753a8611ae7600b062f9f,8,"-1,95","-46,90",,"-21,28","-2,66","-5,32","13,17","-28,83",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,29","5,88","-28,83","13,17","-9,23","-6,59","-10,11","7,86"
SYGNAL Cadence,https://app.zignaly.com/profit-sharing/658c1c3bc34bf558da0f0cb6,10,"0,19","-22,60",,"-0,93","-0,09","-0,23","13,30","-10,97",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0,84","-7,22","13,30","6,15","-6,55","-10,97","3,65","-6,85","8,67","2,57"
Systematic Trend Following Long Only (Spot),https://app.zignaly.com/profit-sharing/653539cf4bd33811c22dfd3c,12,"2,55","-60,40",,"0,75","0,06","8,04","49,24","-26,17",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,29","14,86","37,65","-26,17","49,24","14,57","-16,74","3,06","-15,59","-14,88","-25,92","0,21"
True Alpha - Futures,https://app.zignaly.com/profit-sharing/63e8bd438aedc6483c31e2bd,20,"0,51","-8,00",,"3,90","0,20","1,06","28,48","-14,99",-,,,,,,,,,,,,,,,,,,,,,,"-5,40","28,48","-14,99","-5,52","8,64","-8,15","-2,62","-3,75","1,49","0,27","3,09","8,00","2,71","4,41","-4,54","0,19","1,49","-0,90","-1,52","-1,13"
Copy-Trade Utopia,https://copy-trade.pro/utopia-monitoring,17,"0,96",,,"7,71","0,45","2,10","29,60","-14,07",-,,,,,,,,,,,,,,,,,,,,,,,,,"-0,10","8,60","29,60","3,64","-13,03","0,88","-7,32","-4,12","-1,75","8,56","0,40","-3,55","-13,19","-14,07","12,25","9,35","0,25"
Diva-HighR,https://app.zignaly.com/profit-sharing/649aacb24bd33877167541de,15,"2,74","-28,50",,"38,81","2,59","9,74","24,76","-16,50",-,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,62","5,16","-3,84","8,42","-8,95","3,51","-3,30","-16,50","8,52","20,48","3,50","1,15","9,07","24,76","-7,32"
Copy-Trade Optimal by Arthem Capital,https://copy-trade.pro/arthem-monitoring,15,"4,80",,,"42,53","2,84","14,53","46,62","-50,17",-,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,75","24,95","2,66","-21,69","9,19","46,62","-50,17","5,33","17,73","3,87","2,86","2,85","7,30","8,69","1,06"
Delta - White Strategy,https://app.zignaly.com/profit-sharing/6470a4104bd33823ed5b986f,17,"3,20","-42,10",,"44,79","2,63","11,71","30,99","-19,89",-,,,,,,,,,,,,,,,,,,,,,,,,,"1,19","1,46","1,88","-15,46","5,19","11,46","13,96","27,68","-7,51","30,99","12,41","-19,89","14,59","-12,83","-6,92","-14,71","10,94"
A4U Trend,https://tradelink.pro/portfolio/155db948-c356-4d9f-a4ba-e41fbd70c35d?t=1722085200,14,"3,54","-31,89",,"48,55","3,47","11,03","38,92","-11,28",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,85","-8,84","13,33","8,41","12,71","-3,40","38,92","8,79","-8,85","-3,52","-1,07","-0,23","-11,28","2,77"
BITRONIX BIT ENERGY (ex. Algo Capital BIT ENERGY),https://tradelink.pro/portfolio/3bf0d207-9041-421c-985b-b9c12fa86bdb?t=1707998400,17,"24,74","-86,23",,"53,37","3,14","12,72","269,96","-64,93",-,,,,,,,,,,,,,,,,,,,,,,,,,"29,05","107,75","-64,93","45,37","-64,85","164,73","-31,41","20,97","3,75","269,96","-11,41","-43,67","11,95","-20,87","-40,78","45,71","-0,74"
Edvi trade Wolf,"https://tradelink.pro/portfolio/c2e523ae-6cd5-4418-82bc-b720f143c4b4?t=1728972000
https://tradelink.pro/portfolio/a14f8e59-89a1-4c7a-a8e0-44bdc460b0d4?t=1714118400",21,"2,45","-12,87",,"63,99","3,05","14,25","9,24","-3,29",-,,,,,,,,,,,,,,,,,,,,,"9,24","-0,54","1,85","3,10","-0,60","2,06","8,34","1,04","0,40","-0,46","5,89","3,71","8,15","0,00","-3,29","0,62","5,30","-1,65","-2,90","5,99","5,14"
COIN SORCIUM БИРЖА BYBIT,https://alfirium.com/coinsorcium,12,"5,45",,,"65,79","5,48","15,43","29,45","-27,00",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,73","-2,92","4,70","2,50","21,98","19,78","-7,23","12,74","29,45","-9,37","-27,00","15,00"
Copy-Trade Syndicate,https://copy-trade.pro/Syndicate-monitoring,15,"3,64",,,"69,29","4,62","15,20","13,27","-3,76",-,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,07","7,34","1,43","2,59","4,24","2,53","4,23","-3,76","13,27","4,62","2,25","7,89","5,95","0,00","0,00"
Blueprint Algo,https://app.zignaly.com/profit-sharing/6401ef868aedc67e395181e8,19,"3,46","-30,40",,"76,38","4,02","17,27","24,71","-10,12",-,,,,,,,,,,,,,,,,,,,,,,,"11,60","-4,14","-2,55","5,09","-6,02","-0,75","0,00","17,02","4,67","24,71","-10,12","24,39","2,78","-0,97","-4,69","-3,92","-4,95","5,24","8,40"
Copy-Trade White Waters,https://copy-trade.pro/white-waters-monitoring,21,"3,96",,,"79,47","3,78","19,78","81,60","-10,40",-,,,,,,,,,,,,,,,,,,,,,"81,60","-10,40","-3,60","12,70","-0,90","-1,60","-8,70","5,16","-2,39","1,35","4,31","4,61","-4,92","6,93","2,39","-0,60","-3,84","-1,91","1,29","3,23","-1,57"
Systematic Trend Following Long Short No Leverage,https://app.zignaly.com/profit-sharing/6452b82c4bd338762d3b57a4,17,"5,64","-59,40",,"81,22","4,78","24,72","64,89","-18,51",-,,,,,,,,,,,,,,,,,,,,,,,,,"10,26","13,50","-5,59","0,00","0,00","4,05","13,94","53,02","-14,20","64,89","14,59","-16,75","7,06","-18,51","-13,17","-17,49","0,23"
RYFEN T2,https://app.zignaly.com/profit-sharing/646bae704bd33808da0108ed,17,"5,86","-47,70",,"88,31","5,19","24,08","42,91","-27,29",-,,,,,,,,,,,,,,,,,,,,,,,,,"-6,60","5,16","-27,29","39,05","-5,97","31,42","42,91","16,32","-20,50","41,74","-6,75","3,36","-21,66","4,39","5,05","-1,77","0,72"
Zohar_Z TZ,https://tradelink.pro/portfolio/5c18f48e-24d2-4cf8-9c1e-7531b582ef6f?t=1712318400,10,"7,56","-10,68",,"98,64","9,86","25,10","29,81","-2,00",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,74","7,62","29,81","16,11","18,99","-2,00","3,81","3,83","0,92","-1,75"
Algotoria Altcoins,https://tradelink.pro/portfolio/5713d797-5fbb-497f-8274-70c604df7634?t=1729080000,5,"21,22","-36,67",,"112,26","22,45","28,07","64,27","-23,98",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,33","-23,98","58,72","64,27","6,74"
Algotoria USDT,https://tradelink.pro/portfolio/4d32ae55-dc4f-4221-959f-31db0b12d2bf,16,"6,83","-37,43",,"128,64","8,04","30,26","54,40","-17,24",-,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,36","-16,71","-4,90","-3,14","24,16","-9,05","26,05","16,52","54,40","2,42","-8,60","13,23","-17,24","27,90","9,89","-3,33"
786 trading Binance Spot,https://app.zignaly.com/profit-sharing/639c44e68aedc66d9b4abff3,21,"7,38","-48,50",,"142,66","6,79","38,07","76,18","-34,85",-,,,,,,,,,,,,,,,,,,,,,"-2,01","27,76","-16,78","1,13","-4,86","-11,28","2,60","-17,92","6,47","47,70","24,50","76,18","-12,36","26,00","42,68","-34,85","22,30","-18,41","1,36","-23,59","18,41"
Ed Khan MultiKnife,"https://tradelink.pro/portfolio/6b22863b-142d-4584-9e53-6b5bda8cda9d?t=1712318400
https://alfirium.com/coinsorcium",18,"5,44","-6,96",,"147,49","8,19","28,66","34,49","-3,15",-,,,,,,,,,,,,,,,,,,,,,,,,"7,71","0,34","4,11","2,83","2,92","0,96","2,65","12,55","12,60","7,92","5,83","34,49","1,07","2,52","0,66","0,32","-3,15","1,66"
